G1 | MC2 | IP: 192.168.1.10 | Downtime: 2025-06-26 22:06:52.913022 - 2025-06-26 22:06:54.977112 | Duration: 0:00:02 | Date: 2025-06-26
G1 | MC2 | IP: 192.168.1.10 | Downtime: 2025-06-26 22:07:47.895713 - 2025-06-26 22:07:50.362744 | Duration: 0:00:02 | Date: 2025-06-26
G1 | MC2 | IP: 192.168.1.10 | Downtime: 2025-06-26 22:08:06.223555 - 2025-06-26 22:08:09.203821 | Duration: 0:00:02 | Date: 2025-06-26
G1 | MC2 | IP: 192.168.1.10 | Downtime: 2025-06-26 22:11:05.944516 - 2025-06-26 22:11:08.006764 | Duration: 0:00:02 | Date: 2025-06-26
G1 | MC2 | IP: 192.168.1.10 | Downtime: 2025-06-26 22:11:18.142076 - 2025-06-26 22:11:21.014716 | Duration: 0:00:02 | Date: 2025-06-26
G1 | MC2 | IP: 192.168.1.10 | Downtime: 2025-06-26 22:13:44.772836 - 2025-06-26 22:16:22.581858 | Duration: 0:02:37 | Date: 2025-06-26
G1 | MC2 | IP: 192.168.1.10 | Downtime: 2025-06-26 22:17:06.338621 - 2025-06-26 22:17:09.096587 | Duration: 0:00:02 | Date: 2025-06-26
G1 | MC2 | IP: 192.168.1.10 | Downtime: 2025-06-26 22:17:58.317428 - 2025-06-26 22:18:00.994858 | Duration: 0:00:02 | Date: 2025-06-26
G1 | MC2 | IP: 192.168.1.10 | Downtime: 2025-06-26 22:22:27.315592 - 2025-06-26 22:22:32.427082 | Duration: 0:00:05 | Date: 2025-06-26
G1 | MC2 | IP: 192.168.1.10 | Downtime: 2025-06-26 22:24:44.918839 - 2025-06-26 22:24:50.585976 | Duration: 0:00:05 | Date: 2025-06-26
G1 | MC2 | IP: 192.168.1.10 | Downtime: 2025-06-26 22:25:06.329375 - 2025-06-26 22:31:40.191127 | Duration: 0:06:33 | Date: 2025-06-26
G1 | MC2 | IP: 192.168.1.10 | Downtime: 2025-06-26 22:32:41.848654 - 2025-06-26 23:13:51.833744 | Duration: 0:41:09 | Date: 2025-06-26
G1 | MC2 | IP: 192.168.1.10 | Downtime: 2025-06-26 23:14:53.928243 - 2025-06-26 23:24:47.358270 | Duration: 0:09:53 | Date: 2025-06-26
G1 | MC2 | IP: 192.168.1.10 | Downtime: 2025-06-26 23:25:15.803163 - 2025-06-26 23:25:18.247709 | Duration: 0:00:02 | Date: 2025-06-26
G2 | MC04 | IP: 192.168.1.12 | Downtime: 2025-06-27 14:44:17.356406 - 2025-06-27 21:38:33.433141 | Duration: 6:54:16 | Date: 2025-06-27
G2 | MC06 | IP: 192.168.1.14 | Downtime: 2025-06-29 20:07:43.020277 - 2025-06-29 20:07:48.130922 | Duration: 0:00:05 | Date: 2025-06-29
G2 | MC06 | IP: 192.168.1.14 | Downtime: 2025-06-29 20:17:26.087901 - 2025-06-29 20:17:31.222503 | Duration: 0:00:05 | Date: 2025-06-29
G1 | MC01 | IP: 192.168.1.9 | Downtime: 2025-06-29 20:01:30.069143 - 2025-06-29 20:32:38.742060 | Duration: 0:31:08 | Date: 2025-06-29
